qps,min,avg,median,p90,p95,p99,max,actual_qps,successful,failed
10,0.1267,0.1748,0.1605,0.2006,0.2407,0.5298,1.0637,10.00,1200,0
25,0.0888,0.1750,0.1587,0.2052,0.2650,0.5646,1.0736,25.00,3000,0
50,0.0854,0.1743,0.1568,0.2021,0.2562,0.5423,1.2501,50.00,6000,0
100,0.0914,0.5957,0.5386,1.2302,1.4208,1.8173,2.6540,100.00,12000,0
200,0.0740,1.6550,1.5994,1.9455,2.0641,2.3756,2.9368,200.00,24000,0
300,0.0763,2.5055,2.4394,2.9324,3.1439,3.4432,4.1449,300.00,36000,0
