qps,min,avg,median,p90,p95,p99,max,actual_qps,successful,failed
10,0.0960,0.1605,0.1446,0.1958,0.2159,0.4695,1.1059,10.00,1200,0
25,0.0812,0.1551,0.1399,0.1917,0.2200,0.4185,0.9851,25.00,3000,0
50,0.0834,0.1494,0.1362,0.1854,0.2076,0.3999,0.9022,50.01,6001,0
100,0.0838,0.1869,0.1653,0.2537,0.3146,0.5485,1.1930,100.00,12000,0
200,0.0806,1.8599,1.8514,2.0956,2.1824,2.4579,2.8714,200.00,24000,0
300,0.0777,2.7049,2.7051,3.0626,3.2010,3.5488,4.1410,300.00,36000,0
